"X1" "X2" "X3" "loc"
"1" 9.3 18.7 29.8 "A"
"2" 11.5 18.8 13 "A"
"3" 12.3 23.4 11 "A"
"4" 10.5 20 21.9 "A"
"5" 6.8 21.6 16.4 "A"
"6" 12.7 23.7 20.6 "A"
"7" 10 21.3 25.9 "A"
"8" 8.7 17 11.4 "A"
"9" 11.1 17.7 23.9 "A"
"10" 9.7 18.9 29 "A"
"11" 8.6 23.9 15.6 "A"
"12" 9.5 21.2 15 "A"
"13" 10.3 21 13.2 "A"
"14" 10.9 20 11.4 "A"
"15" 13.1 17.3 21.1 "A"
"16" 9.6 25.1 19.8 "A"
"17" 13.1 20.2 19.9 "A"
"18" 6.9 15.8 27.8 "A"
"19" 7.2 23 10.7 "A"
"20" 12.1 17.9 14.1 "A"
"21" 7.8 17.9 20.3 "A"
"22" 10.3 19.3 14.7 "A"
"23" 11.9 16.5 21.5 "A"
"24" 12 17.2 19.6 "A"
"25" 12.3 17.4 21.4 "A"
"26" 9.4 15.6 12.9 "A"
"27" 13.4 21 12.9 "A"
"28" 8.9 20.8 18.2 "A"
"29" 5.2 18.7 23.7 "A"
"30" 13.4 22.1 23.1 "A"
"31" 9 21.6 28.3 "A"
"32" 8.4 19.8 26.3 "A"
"33" 10.2 22.4 23.5 "A"
"34" 12.6 21.4 26.1 "A"
"35" 11 21.9 12.6 "A"
"36" 11.1 21.5 15 "A"
"37" 9.5 21.7 16.6 "A"
"38" 10.6 19.6 18.1 "A"
"39" 8 19.9 22.7 "A"
"40" 10.3 18.8 26.2 "A"
"41" 7.5 19 15.2 "A"
"42" 11.7 18.8 26.4 "A"
"43" 11.1 16.1 10.3 "A"
"44" 6.2 27.4 23.1 "A"
"45" 11.8 22.6 26.2 "A"
"46" 8.4 17.5 19.2 "A"
"47" 8.5 19.5 14.1 "A"
"48" 10.4 18.5 10.4 "A"
"49" 9.8 22.2 15.7 "A"
"50" 9.3 20 28.3 "A"
"51" 10.6 20.5 28.7 "A"
"52" 9.9 20 20.9 "A"
"53" 10 19.9 14.4 "A"
"54" 7.5 24.7 19.8 "A"
"55" 11.1 19 26 "A"
"56" 13.3 22.9 18.2 "A"
"57" 8.5 16.3 12.1 "A"
"58" 10 21.6 15.6 "A"
"59" 9.3 20.6 17.2 "A"
"60" 11 20.2 15.2 "A"
"61" 12.2 20.2 19.4 "A"
"62" 7.3 19.6 17.3 "A"
"63" 10.3 19 12.4 "A"
"64" 10.6 17 10.9 "A"
"65" 9.4 17.3 15.3 "A"
"66" 10.6 20.6 29.4 "A"
"67" 8.4 21.8 19.8 "A"
"68" 9.9 20.2 19.6 "A"
"69" 9.5 22.7 25 "A"
"70" 12.8 24.6 23.4 "A"
"71" 9.2 19 11 "A"
"72" 8.5 14.2 23.9 "A"
"73" 10.8 22.5 17.3 "A"
"74" 10.9 17.7 27.7 "A"
"75" 11.7 17.5 25.5 "A"
"76" 7.4 23.8 12.8 "A"
"77" 8.7 19.7 15.9 "A"
"78" 11.1 16.2 12.5 "A"
"79" 11.3 20 21.8 "A"
"80" 12 18.9 21.2 "A"
"81" 6.1 21.5 23.8 "A"
"82" 8 21.8 16.2 "A"
"83" 10.1 18.9 22.1 "A"
"84" 9.6 21.9 29.8 "A"
"85" 10.5 19.2 24.9 "A"
"86" 11.2 20.5 11.5 "A"
"87" 12.4 22.1 19 "A"
"88" 11.5 20.6 11.1 "A"
"89" 6.8 20.3 16.8 "A"
"90" 11.1 22.7 24.7 "A"
"91" 10.7 22.5 10.1 "A"
"92" 10.1 21.5 25.4 "A"
"93" 8 21.4 19.3 "A"
"94" 10.3 18.1 24.4 "A"
"95" 13 22.6 23.3 "A"
"96" 6.5 19.7 21.4 "A"
"97" 12.8 25 24.1 "A"
"98" 12.7 23.2 23.1 "A"
"99" 12 18.6 15.8 "A"
"100" 11.3 16.7 11.9 "A"
"101" 10.4 17.9 29.2 "A"
"102" 9.1 21 24.7 "A"
"103" 7.8 20.2 22.3 "A"
"104" 8.4 19.6 12.4 "A"
"105" 9.8 17.5 21 "A"
"106" 9.9 19.9 15.3 "A"
"107" 10.5 17.6 28 "A"
"108" 9.7 15.5 10.2 "A"
"109" 8.1 19.7 14.7 "A"
"110" 12.6 21.5 12.6 "A"
"111" 6 19.9 16.5 "A"
"112" 10.7 21.4 24.5 "A"
"113" 8.1 16.3 29.8 "A"
"114" 11.3 19.4 24.3 "A"
"115" 11.5 20.9 20.1 "A"
"116" 12.6 19.8 18.7 "A"
"117" 10.4 20.1 29 "A"
"118" 8.7 18.7 12.4 "A"
"119" 8.6 18.2 11.5 "A"
"120" 10.5 17 27.8 "A"
"121" 15.2 26.7 18.5 "B"
"122" 14.3 24.1 10.8 "B"
"123" 19.5 29.9 22.9 "B"
"124" 15.4 33.2 19.4 "B"
"125" 17.4 30.1 22.4 "B"
"126" 16.4 30.5 15.4 "B"
"127" 14.8 24.8 13.1 "B"
"128" 13.3 29.9 12.3 "B"
"129" 20.4 26.5 20.2 "B"
"130" 16.3 32.3 21 "B"
"131" 16.1 26.9 12.8 "B"
"132" 13.6 21.6 13.4 "B"
"133" 12.7 24.6 25.2 "B"
"134" 14.6 27.8 20.5 "B"
"135" 15.6 21.1 27.2 "B"
"136" 16.5 27.3 23.5 "B"
"137" 15.1 23.9 10.3 "B"
"138" 17.9 24.4 23.9 "B"
"139" 15.8 23.6 27.8 "B"
"140" 16 31.2 22.6 "B"
"141" 18.2 29.5 12.1 "B"
"142" 15.2 23.7 28.4 "B"
"143" 15.9 29.2 23.5 "B"
"144" 16.7 21.4 13 "B"
"145" 16.3 23.9 24.9 "B"
"146" 18.2 26.1 28.9 "B"
"147" 11.8 23.7 18.4 "B"
"148" 15.6 31 16 "B"
"149" 13.7 23.2 15.2 "B"
"150" 15.4 26.6 14.5 "B"
"151" 16.6 23.8 21.3 "B"
"152" 14.6 26.3 25.1 "B"
"153" 14.9 21.3 23.4 "B"
"154" 18.2 21.1 20.9 "B"
"155" 15.7 25.2 26.2 "B"
"156" 12.9 26.5 25.2 "B"
"157" 13.9 31.1 10.4 "B"
"158" 14.4 20.5 17.6 "B"
"159" 20.7 29.8 11 "B"
"160" 15.2 26.9 26 "B"
"161" 14.9 30.1 28.5 "B"
"162" 13.8 31.2 20.9 "B"
"163" 15.2 29.7 27 "B"
"164" 14.7 22 21.7 "B"
"165" 17.3 21.2 23.4 "B"
"166" 15.3 19.4 20.2 "B"
"167" 16.4 26.4 25.3 "B"
"168" 16.7 26 28.1 "B"
"169" 17.6 28.2 26.4 "B"
"170" 13.1 24.9 11.4 "B"
"171" 13.1 30.9 10.1 "B"
"172" 19.8 25.3 11 "B"
"173" 18.2 18.1 27.3 "B"
"174" 16 28.8 21.5 "B"
"175" 12.9 30.7 16.3 "B"
"176" 16.3 22.6 29.2 "B"
"177" 18 23.9 21.8 "B"
"178" 17.5 27.2 20.6 "B"
"179" 20.5 30.2 17.7 "B"
"180" 18 30 16.4 "B"
"181" 17.5 24.5 26.2 "B"
"182" 15.6 26 10.8 "B"
"183" 18.3 24.7 17.3 "B"
"184" 16.6 26.2 27.1 "B"
"185" 14.1 33.2 24 "B"
"186" 17.5 21.7 23.7 "B"
"187" 15.5 22.1 17 "B"
"188" 17.7 20.8 21.1 "B"
"189" 17.8 29.1 12.7 "B"
"190" 17.1 21.2 25.7 "B"
"191" 15.2 28.9 27.7 "B"
"192" 18.4 24.4 14.1 "B"
"193" 15.2 25.4 25.4 "B"
"194" 15 30.1 21.9 "B"
"195" 15.3 26 29.2 "B"
"196" 13.7 27.6 13.2 "B"
"197" 15.5 31.1 20.5 "B"
"198" 18.1 16.4 27.5 "B"
"199" 17.2 20.6 27.4 "B"
"200" 17 24.1 10.5 "B"
"201" 18 26.2 29.5 "B"
"202" 15.4 28.5 19.8 "B"
"203" 15 33.9 17.8 "B"
"204" 15.5 27.8 18.4 "B"
"205" 17 28.2 11.9 "B"
"206" 15.5 17.7 13.2 "B"
"207" 16.1 23.8 18.1 "B"
"208" 13.4 23.5 16.8 "B"
"209" 14.6 28 18.3 "B"
"210" 14.5 25.3 16.1 "B"
"211" 18.4 32.4 21.2 "B"
"212" 16.2 30.7 13.1 "B"
"213" 13.4 28.4 29.1 "B"
"214" 17.3 25.9 10.9 "B"
"215" 18.7 24.4 17.4 "B"
"216" 15.1 24.8 29.3 "B"
"217" 14.9 31.3 22.9 "B"
"218" 13.8 30.1 11.2 "B"
"219" 15.2 29 18.2 "B"
"220" 18.8 28.5 18.5 "B"
"221" 12.7 24 20.2 "C"
"222" 12.4 24.7 19 "C"
"223" 9.6 27.5 22.5 "C"
"224" 11 24.2 12.8 "C"
"225" 11.9 25.4 28.2 "C"
"226" 8.3 26.7 21.4 "C"
"227" 12.3 26.7 21 "C"
"228" 13.6 22.6 12.3 "C"
"229" 13 23.8 25.2 "C"
"230" 12.6 24.2 19.6 "C"
"231" 9.8 26.7 25.6 "C"
"232" 11.8 25.9 10.9 "C"
"233" 11.6 25.8 26.4 "C"
"234" 12.5 25.8 15.4 "C"
"235" 13.6 24.8 15.7 "C"
"236" 9 27.6 22.9 "C"
"237" 10.9 25.5 29 "C"
"238" 15 21.9 10.1 "C"
"239" 10.3 25.5 17 "C"
"240" 11.4 22.9 18.4 "C"
"241" 14 23.6 19.2 "C"
"242" 13.9 26.2 24.2 "C"
"243" 12.9 22.7 28.4 "C"
"244" 13.6 24.3 22.5 "C"
"245" 13.4 24.5 28 "C"
"246" 14 21.7 25.1 "C"
"247" 10.9 26.5 12.8 "C"
"248" 12.6 26 13.1 "C"
"249" 13.7 23.1 13.8 "C"
"250" 10.1 27.1 18.7 "C"
"251" 11.3 25.7 11.7 "C"
"252" 12.2 24.3 14.5 "C"
"253" 10.8 26.6 21.4 "C"
"254" 10.2 26 18 "C"
"255" 10.9 26.4 21.3 "C"
"256" 10.7 25.9 26.6 "C"
"257" 10.4 25.1 22.8 "C"
"258" 11.8 24.6 17.8 "C"
"259" 12.7 24.7 24.2 "C"
"260" 11.8 23.6 12.2 "C"
